Timestamp,Drone ID,X,Y,Height
1739710179.261499,0,0.6,0.0,0.5
1739710179.261815,1,0.6,0.0,0.8
1739710179.262366,2,0.6,0.0,1.2
1739710180.041252,0,0.563815572471545,0.20521208599540122,0.5
1739710180.041481,2,0.563815572471545,0.20521208599540122,1.2
1739710180.0413582,1,0.563815572471545,0.20521208599540122,0.8
1739710180.8208258,0,0.4596266658713868,0.38567256581192355,0.5
1739710180.8212578,2,0.4596266658713868,0.38567256581192355,1.2
1739710180.825262,1,0.4596266658713868,0.38567256581192355,0.8
1739710181.6001537,0,0.30000000000000004,0.5196152422706631,0.5
1739710181.6009142,2,0.30000000000000004,0.5196152422706631,1.2
1739710181.6042926,1,0.30000000000000004,0.5196152422706631,0.8
1739710182.3794315,0,0.10418890660015824,0.5908846518073247,0.5
1739710182.3825805,2,0.10418890660015824,0.5908846518073247,1.2
1739710182.383594,1,0.10418890660015824,0.5908846518073247,0.8
1739710183.158299,0,-0.10418890660015818,0.5908846518073247,0.5
1739710183.1615727,2,-0.10418890660015818,0.5908846518073247,1.2
1739710183.1625986,1,-0.10418890660015818,0.5908846518073247,0.8
1739710183.9376993,0,-0.2999999999999999,0.5196152422706632,0.5
1739710183.941852,1,-0.2999999999999999,0.5196152422706632,0.8
1739710183.9409473,2,-0.2999999999999999,0.5196152422706632,1.2
1739710184.717466,0,-0.45962666587138673,0.38567256581192366,0.5
1739710184.7208521,1,-0.45962666587138673,0.38567256581192366,0.8
1739710184.7258298,2,-0.45962666587138673,0.38567256581192366,1.2
1739710185.4969466,0,-0.563815572471545,0.20521208599540133,0.5
1739710185.4999535,1,-0.563815572471545,0.20521208599540133,0.8
1739710185.50541,2,-0.563815572471545,0.20521208599540133,1.2
1739710186.2790773,1,-0.6,7.347880794884119e-17,0.8
1739710186.2785578,0,-0.6,7.347880794884119e-17,0.5
1739710186.283989,2,-0.6,7.347880794884119e-17,1.2
1739710187.0584784,1,-0.563815572471545,-0.2052120859954012,0.8
1739710187.0607123,0,-0.563815572471545,-0.2052120859954012,0.5
1739710187.063122,2,-0.563815572471545,-0.2052120859954012,1.2
1739710187.8379462,1,-0.4596266658713868,-0.38567256581192355,0.8
1739710187.8394618,0,-0.4596266658713868,-0.38567256581192355,0.5
1739710187.8419824,2,-0.4596266658713868,-0.38567256581192355,1.2
1739710188.6172647,1,-0.30000000000000027,-0.519615242270663,0.8
1739710188.6182873,0,-0.30000000000000027,-0.519615242270663,0.5
1739710188.6208997,2,-0.30000000000000027,-0.519615242270663,1.2
1739710189.396584,1,-0.1041889066001582,-0.5908846518073247,0.8
1739710189.3976305,0,-0.1041889066001582,-0.5908846518073247,0.5
1739710189.40015,2,-0.1041889066001582,-0.5908846518073247,1.2
1739710190.1764555,1,0.10418890660015798,-0.5908846518073249,0.8
1739710190.177112,0,0.10418890660015798,-0.5908846518073249,0.5
1739710190.179005,2,0.10418890660015798,-0.5908846518073249,1.2
1739710190.9561756,1,0.30000000000000004,-0.5196152422706631,0.8
1739710190.9570622,0,0.30000000000000004,-0.5196152422706631,0.5
1739710190.957728,2,0.30000000000000004,-0.5196152422706631,1.2
1739710191.7360473,1,0.4596266658713867,-0.3856725658119237,0.8
1739710191.736853,0,0.4596266658713867,-0.3856725658119237,0.5
1739710191.7373185,2,0.4596266658713867,-0.3856725658119237,1.2
1739710192.5166464,1,0.563815572471545,-0.20521208599540117,0.8
1739710192.5168548,2,0.563815572471545,-0.20521208599540117,1.2
1739710193.296691,1,0.6,-1.4695761589768238e-16,0.8
1739710193.297343,0,0.6,-1.4695761589768238e-16,0.5
1739710193.2978203,2,0.6,-1.4695761589768238e-16,1.2
